cuda
  5%|██████▍                                                                                                                | 27/500 [00:10<02:59,  2.63it/s]
Episode 139: Total Reward = -1656.906421445007
Episode 140: Total Reward = -1524.4320841049328
Episode 141: Total Reward = -1729.470587547429
Episode 142: Total Reward = -1584.145722908224
Episode 143: Total Reward = -1584.2310399216951
Episode 144: Total Reward = -1545.20944368103
Episode 145: Total Reward = -1592.8353738843848
Episode 146: Total Reward = -1552.9750046291092
Episode 147: Total Reward = -1490.1918887106276
Episode 148: Total Reward = -1581.5693289037868
Episode 149: Total Reward = -1507.01323340487
Episode 150: Total Reward = -1656.727595556799
Episode 151: Total Reward = -1657.5224001927838
Episode 152: Total Reward = -1615.865088331493
Episode 153: Total Reward = -1660.2607519889777
Episode 154: Total Reward = -1536.2551851702885
Episode 155: Total Reward = -1676.0373527681702
Episode 156: Total Reward = -1655.1178259729102
Episode 157: Total Reward = -1695.010113110223
Episode 158: Total Reward = -1688.2590704902716
Episode 159: Total Reward = -1612.421036006287
Episode 160: Total Reward = -1556.7709409171505
Episode 161: Total Reward = -1621.7359009884783
Episode 162: Total Reward = -1503.0572430935692
Episode 163: Total Reward = -1591.537404617429
Episode 164: Total Reward = -1481.4711099808542
Episode 165: Total Reward = -1651.1320172633011
Episode 166: Total Reward = -1670.4001177775242
Episode 167: Total Reward = -1716.178109027009
Episode 168: Total Reward = -1553.4890445219764
Episode 169: Total Reward = -1432.404936065083
Episode 170: Total Reward = -1492.4628322120705
Episode 171: Total Reward = -1611.9421232407435
Episode 172: Total Reward = -1663.8080088864967
Episode 173: Total Reward = -1562.5962456171865
Episode 174: Total Reward = -1614.1818798467564
Episode 175: Total Reward = -1652.4076789097587
Episode 176: Total Reward = -1619.423795549132
Episode 177: Total Reward = -1534.495016608318
Episode 178: Total Reward = -1636.4548312364234
Episode 179: Total Reward = -1589.9072016083978
Episode 180: Total Reward = -1510.4482364363798
Episode 181: Total Reward = -1534.115320131461
Episode 182: Total Reward = -1514.223943457569
Episode 183: Total Reward = -1631.0393547597514
Episode 184: Total Reward = -1657.745046580403
Episode 185: Total Reward = -1502.514146280826
Episode 186: Total Reward = -1596.2044241536448
Episode 187: Total Reward = -1534.6116975978812
Episode 188: Total Reward = -1579.4943687852458
Episode 189: Total Reward = -1564.3591979739483
Episode 190: Total Reward = -1657.7217617997633
Episode 191: Total Reward = -1650.4778422780962
Episode 192: Total Reward = -1608.9769906700421
Episode 193: Total Reward = -1516.128001456958
Episode 194: Total Reward = -1643.4733547575545
Episode 195: Total Reward = -1553.110572524984
Episode 196: Total Reward = -1561.1720661036152
Episode 197: Total Reward = -1673.1596957511856
Episode 198: Total Reward = -1593.299342652267
Episode 199: Total Reward = -1441.0868686007882
Episode 200: Total Reward = -1526.2385400403289
Saved checkpoint at episode 200 to result-a2c_pendulum_sweep/exp_20250514-133248/checkpoint_ep200.pt
Episode 201: Total Reward = -1601.0106638681252
Episode 202: Total Reward = -1550.4890396203477
Episode 203: Total Reward = -1585.7805093335203
Episode 204: Total Reward = -1569.1765388100528
Episode 205: Total Reward = -1520.4636082855213
Episode 206: Total Reward = -1612.978050000305
Episode 207: Total Reward = -1753.3069575514157
Episode 208: Total Reward = -1686.3147324873416
Episode 209: Total Reward = -1538.6229742738074
Episode 210: Total Reward = -1554.3785602563491
Episode 211: Total Reward = -1555.3369144113915
Episode 212: Total Reward = -1551.2609790189663
Episode 213: Total Reward = -1640.6070493237578
Episode 214: Total Reward = -1627.9235875768702
Episode 215: Total Reward = -1579.58118160856
Episode 216: Total Reward = -1629.0722288307336
Episode 217: Total Reward = -1734.8253790542365
Episode 218: Total Reward = -1529.4233336650157
Episode 219: Total Reward = -1622.8251657699484
Episode 220: Total Reward = -1496.3990980344029
Episode 221: Total Reward = -1677.8109790629596
Episode 222: Total Reward = -1725.7390851383598
Episode 223: Total Reward = -1752.3351809934525
Episode 224: Total Reward = -1675.558545683881
Episode 225: Total Reward = -1550.7052286159912
Episode 226: Total Reward = -1572.1331322831636
Episode 227: Total Reward = -1725.6196103699351
Episode 228: Total Reward = -1597.5866322165307
Episode 229: Total Reward = -1675.4237006048975
Episode 230: Total Reward = -1512.4061769622363
Episode 231: Total Reward = -1437.8825346624199
Episode 232: Total Reward = -1718.369761908511
Episode 233: Total Reward = -1599.9820085811332
Episode 234: Total Reward = -1622.0628831529875
Episode 235: Total Reward = -1529.3929586338484
Episode 236: Total Reward = -1640.3196095704047
Episode 237: Total Reward = -1633.3325632529911
Episode 238: Total Reward = -1523.2134376467814
Episode 239: Total Reward = -1509.8498975189373
Episode 240: Total Reward = -1672.8269671006274
Episode 241: Total Reward = -1598.8002944997365
Episode 242: Total Reward = -1745.6232711662299
Episode 243: Total Reward = -1537.6765801918145
Episode 244: Total Reward = -1607.471099192235
Episode 245: Total Reward = -1526.9542737693582
Episode 246: Total Reward = -1591.0924371623646
Episode 247: Total Reward = -1489.883092668592
Episode 248: Total Reward = -1544.415961258142
Episode 249: Total Reward = -1507.5440434399875
Episode 250: Total Reward = -1496.0889719909374
Episode 251: Total Reward = -1544.5076452955088
Episode 252: Total Reward = -1528.7522320340759
Episode 253: Total Reward = -1693.5720329003889
Episode 254: Total Reward = -1564.4439543414242
Episode 255: Total Reward = -1529.4039238571902
Episode 256: Total Reward = -1567.4516784767068
Episode 257: Total Reward = -1570.4133154422034
Episode 258: Total Reward = -1620.3184472740627
Episode 259: Total Reward = -1562.3555539182605
Episode 260: Total Reward = -1602.2280774290018
Episode 261: Total Reward = -1551.165204760493
Episode 262: Total Reward = -1616.1166235303804
Episode 263: Total Reward = -1546.77578423912
Episode 264: Total Reward = -1510.5773610243227
Episode 265: Total Reward = -1604.7710699796214
Episode 266: Total Reward = -1606.0614691335295
