cuda
  6%|███████▍                                                                                                               | 31/499 [00:12<03:06,  2.52it/s]
Episode 147: Total Reward = -1423.2439924203898
Episode 148: Total Reward = -1516.886268682982
Episode 149: Total Reward = -1478.5432354083234
Episode 150: Total Reward = -1524.0658920785465
Episode 151: Total Reward = -1508.873670671684
Episode 152: Total Reward = -1428.1744566606333
Episode 153: Total Reward = -1556.7747892191933
Episode 154: Total Reward = -1476.118305985218
Episode 155: Total Reward = -1472.862282693099
Episode 156: Total Reward = -1531.7083381789778
Episode 157: Total Reward = -1514.5558296162858
Episode 158: Total Reward = -1398.6968221674133
Episode 159: Total Reward = -1410.5825441622646
Episode 160: Total Reward = -1452.1813920349164
Episode 161: Total Reward = -1545.810082768776
Episode 162: Total Reward = -1387.6703273771782
Episode 163: Total Reward = -1390.8243514904148
Episode 164: Total Reward = -1445.772446188772
Episode 165: Total Reward = -1518.3252992512146
Episode 166: Total Reward = -1504.874629600283
Episode 167: Total Reward = -1585.1086776912061
Episode 168: Total Reward = -1515.1724825156355
Episode 169: Total Reward = -1554.6057051577548
Episode 170: Total Reward = -1544.325090100808
Episode 171: Total Reward = -1552.2223651279774
Episode 172: Total Reward = -1560.0337752669402
Episode 173: Total Reward = -1509.329299901675
Episode 174: Total Reward = -1594.872796536724
Episode 175: Total Reward = -1585.9836592880827
Episode 176: Total Reward = -1598.3717378251852
Episode 177: Total Reward = -1598.5760859776503
Episode 178: Total Reward = -1559.4121377175363
Episode 179: Total Reward = -1530.667689065835
Episode 180: Total Reward = -1545.3598447950055
Episode 181: Total Reward = -1600.2558922970177
Episode 182: Total Reward = -1618.9989881202553
Episode 183: Total Reward = -1566.921681309012
Episode 184: Total Reward = -1631.4430517254402
Episode 185: Total Reward = -1613.630947310404
Episode 186: Total Reward = -1623.9203298608256
Episode 187: Total Reward = -1546.9588952055128
Episode 188: Total Reward = -1565.8704682966097
Episode 189: Total Reward = -1543.3978612235358
Episode 190: Total Reward = -1604.9415501962553
Episode 191: Total Reward = -1596.3236246155748
Episode 192: Total Reward = -1497.8983213638426
Episode 193: Total Reward = -1607.6221196850624
Episode 194: Total Reward = -1591.468925009456
Episode 195: Total Reward = -1497.0813303963907
Episode 196: Total Reward = -1583.5632234759412
Episode 197: Total Reward = -1626.6498098086029
Episode 198: Total Reward = -1647.74371658422
Episode 199: Total Reward = -1600.923851877632
Episode 200: Total Reward = -1585.7132374486732
Episode 201: Total Reward = -1557.785782546744
Episode 202: Total Reward = -1633.8388936320375
Episode 203: Total Reward = -1545.7052688142985
Episode 204: Total Reward = -1671.410257700469
Episode 205: Total Reward = -1555.490584825814
Episode 206: Total Reward = -1598.0899615958685
Episode 207: Total Reward = -1601.4908916938866
Episode 208: Total Reward = -1495.6307400162561
Episode 209: Total Reward = -1652.0912525157223
Episode 210: Total Reward = -1625.494610844085
Episode 211: Total Reward = -1565.7361163573928
Episode 212: Total Reward = -1611.4368684934707
Episode 213: Total Reward = -1623.5816514935937
Episode 214: Total Reward = -1611.0222950025545
Episode 215: Total Reward = -1594.0331628578094
Episode 216: Total Reward = -1638.6706641664541
Episode 217: Total Reward = -1613.8516968055737
Episode 218: Total Reward = -1612.5124260852863
Episode 219: Total Reward = -1616.0201481887061
Episode 220: Total Reward = -1632.0602129792128
Episode 221: Total Reward = -1530.65758855192
Episode 222: Total Reward = -1644.9919546105018
Episode 223: Total Reward = -1620.3172792605033
Episode 224: Total Reward = -1592.3163743490693
Episode 225: Total Reward = -1631.6415065402023
Episode 226: Total Reward = -1534.390762913716
Episode 227: Total Reward = -1629.9652420945947
Episode 228: Total Reward = -1663.4293273354995
Episode 229: Total Reward = -1601.698383330418
Episode 230: Total Reward = -1619.1703314445315
Episode 231: Total Reward = -1640.1949501436654
Episode 232: Total Reward = -1613.8634833397564
Episode 233: Total Reward = -1544.0458617990487
Episode 234: Total Reward = -1646.6313868194134
Episode 235: Total Reward = -1599.395701734012
Episode 236: Total Reward = -1626.6010692722505
Episode 237: Total Reward = -1600.3736236988766
Episode 238: Total Reward = -1640.4922791036643
Episode 239: Total Reward = -1638.3366535868008
Episode 240: Total Reward = -1690.6548225582196
Episode 241: Total Reward = -1662.089917229564
Episode 242: Total Reward = -1663.305548949352
Episode 243: Total Reward = -1614.5332541315327
Episode 244: Total Reward = -1609.6815681824019
Episode 245: Total Reward = -1616.6546636470966
Episode 246: Total Reward = -1611.4946751760701
Episode 247: Total Reward = -1644.9770885418857
Episode 248: Total Reward = -1606.7485677828613
Episode 249: Total Reward = -1628.4542599035708
Episode 250: Total Reward = -1638.0531571980791
Episode 251: Total Reward = -1654.3285725745568
Episode 252: Total Reward = -1638.4990808385571
Episode 253: Total Reward = -1653.109467463959
Episode 254: Total Reward = -1619.4632958637824
Episode 255: Total Reward = -1630.4202057878977
Episode 256: Total Reward = -1643.228798401986
Episode 257: Total Reward = -1637.3174394548896
Episode 258: Total Reward = -1600.5310176734863
