cuda
  6%|██████▉                                                                                                                | 29/500 [00:10<02:57,  2.65it/s]
Episode 142: Total Reward = -1392.0048521028032
Episode 143: Total Reward = -1305.8520539347533
Episode 144: Total Reward = -1444.361829543727
Episode 145: Total Reward = -1485.5227433742023
Episode 146: Total Reward = -1508.3788362506486
Episode 147: Total Reward = -1498.6902127812943
Episode 148: Total Reward = -1452.7813599443855
Episode 149: Total Reward = -1471.785864665075
Episode 150: Total Reward = -1459.3599713954736
Episode 151: Total Reward = -1355.8081658182737
Episode 152: Total Reward = -1232.8640503895615
Episode 153: Total Reward = -323.94666317773357
Saved best model with score -323.94666317773357 at episode 153
Episode 154: Total Reward = -988.1608989506735
Episode 155: Total Reward = -1006.5054545433845
Episode 156: Total Reward = -900.6952725338357
Episode 157: Total Reward = -750.56359064733
Episode 158: Total Reward = -1034.6940030544235
Episode 159: Total Reward = -433.4295826727161
Episode 160: Total Reward = -738.562123293232
Episode 161: Total Reward = -526.6726167937136
Episode 162: Total Reward = -777.7827953889636
Episode 163: Total Reward = -920.0831510781313
Episode 164: Total Reward = -788.2608813165201
Episode 165: Total Reward = -844.1067210748573
Episode 166: Total Reward = -929.4154446274622
Episode 167: Total Reward = -941.7457215036403
Episode 168: Total Reward = -1039.3121613947203
Episode 169: Total Reward = -1080.9342235477345
Episode 170: Total Reward = -1076.995436959541
Episode 171: Total Reward = -1113.4644061488978
Episode 172: Total Reward = -1063.5056764773312
Episode 173: Total Reward = -1055.7150771197123
Episode 174: Total Reward = -1063.842951241871
Episode 175: Total Reward = -1120.4751892718543
Episode 176: Total Reward = -1123.5305438833173
Episode 177: Total Reward = -1134.6726741332257
Episode 178: Total Reward = -1092.3463804919918
Episode 179: Total Reward = -1134.2518908923587
Episode 180: Total Reward = -1132.5054573404402
Episode 181: Total Reward = -1110.8306559499742
Episode 182: Total Reward = -1078.2889030878343
Episode 183: Total Reward = -1106.9055644270961
Episode 184: Total Reward = -1132.9654480477138
Episode 185: Total Reward = -1123.9553904367233
Episode 186: Total Reward = -1088.6102098301228
Episode 187: Total Reward = -1084.3385355563996
Episode 188: Total Reward = -1070.2598105635896
Episode 189: Total Reward = -1085.1050462201533
Episode 190: Total Reward = -1114.7352642292979
Episode 191: Total Reward = -1151.3504833050656
Episode 192: Total Reward = -1130.3804271258864
Episode 193: Total Reward = -1152.1522475825993
Episode 194: Total Reward = -1167.1209902159972
Episode 195: Total Reward = -1125.103576527187
Episode 196: Total Reward = -1154.8425106408563
Episode 197: Total Reward = -1131.0830887990396
Episode 198: Total Reward = -1118.0568344756841
Episode 199: Total Reward = -1136.640793480502
Episode 200: Total Reward = -1138.2580253629535
Saved checkpoint at episode 200 to result-a2c_pendulum_sweep/exp_20250514-133607/checkpoint_ep200.pt
Episode 201: Total Reward = -1107.1773826311562
Episode 202: Total Reward = -1059.3927609587442
Episode 203: Total Reward = -1055.3949672718024
Episode 204: Total Reward = -1078.2025668691647
Episode 205: Total Reward = -1153.1901263567565
Episode 206: Total Reward = -1154.8309497864284
Episode 207: Total Reward = -1099.7066503799786
Episode 208: Total Reward = -1017.992173008394
Episode 209: Total Reward = -933.962992781792
Episode 210: Total Reward = -1059.9984200189172
Episode 211: Total Reward = -1006.8514180036414
Episode 212: Total Reward = -1063.7815351591196
Episode 213: Total Reward = -1021.6689781921003
Episode 214: Total Reward = -1065.4534468066151
Episode 215: Total Reward = -1024.0623911204093
Episode 216: Total Reward = -1069.174047488757
Episode 217: Total Reward = -995.8695696216436
Episode 218: Total Reward = -921.1524989255782
Episode 219: Total Reward = -815.6855404742348
Episode 220: Total Reward = -956.2012759905065
Episode 221: Total Reward = -1037.9355303186012
Episode 222: Total Reward = -1047.081517943086
Episode 223: Total Reward = -1133.7643020482774
Episode 224: Total Reward = -1112.2279245086052
Episode 225: Total Reward = -1157.4722515479468
Episode 226: Total Reward = -1169.1541134711103
Episode 227: Total Reward = -1141.9501517500346
Episode 228: Total Reward = -1149.5083010157662
Episode 229: Total Reward = -1134.2144108172922
Episode 230: Total Reward = -1077.1912235091409
Episode 231: Total Reward = -1061.6045238675158
Episode 232: Total Reward = -1083.506253303012
Episode 233: Total Reward = -1035.693268386284
Episode 234: Total Reward = -1049.987982438104
Episode 235: Total Reward = -1031.637328665575
Episode 236: Total Reward = -994.9035230645101
