cuda
  6%|███▉                                                           | 31/499 [00:12<03:06,  2.50it/s]
Episode 147: Total Reward = -1378.1215047456546
Episode 148: Total Reward = -1263.9475449254855
Episode 149: Total Reward = -1268.8456410144922
Episode 150: Total Reward = -1279.367095757753
Episode 151: Total Reward = -1324.5379382616368
Episode 152: Total Reward = -1165.6383342440354
Episode 153: Total Reward = -908.8311782252202
Episode 154: Total Reward = -1241.5265294312048
Episode 155: Total Reward = -1112.4856451483993
Episode 156: Total Reward = -1305.6677125614028
Episode 157: Total Reward = -1320.6288381738177
Episode 158: Total Reward = -1388.570371740185
Episode 159: Total Reward = -1305.0720582434305
Episode 160: Total Reward = -1429.0042342316228
Episode 161: Total Reward = -1338.2154542942033
Episode 162: Total Reward = -1367.63814758438
Episode 163: Total Reward = -1444.5988635106362
Episode 164: Total Reward = -1306.0517523829321
Episode 165: Total Reward = -1232.364956428081
Episode 166: Total Reward = -1444.1524717904779
Episode 167: Total Reward = -1378.8764583026289
Episode 168: Total Reward = -1316.310257928761
Episode 169: Total Reward = -1292.8686078461715
Episode 170: Total Reward = -927.4866329321883
Episode 171: Total Reward = -1346.7066961096748
Episode 172: Total Reward = -1250.6569188198557
Episode 173: Total Reward = -1297.6742984660366
Episode 174: Total Reward = -1256.5835868138513
Episode 175: Total Reward = -1015.1545087449763
Episode 176: Total Reward = -1276.504585856218
Episode 177: Total Reward = -1121.3798578572832
Episode 178: Total Reward = -1275.5244995588525
Episode 179: Total Reward = -924.5313372163018
Episode 180: Total Reward = -693.2488825738934
Episode 181: Total Reward = -967.4818702459148
Episode 182: Total Reward = -1316.4820246217032
Episode 183: Total Reward = -1183.8534045241101
Episode 184: Total Reward = -1263.7164053771726
Episode 185: Total Reward = -1220.3485665960063
Episode 186: Total Reward = -1257.8358671225158
Episode 187: Total Reward = -1277.034408079536
Episode 188: Total Reward = -1080.5111223573958
Episode 189: Total Reward = -1269.0592500597713
Episode 190: Total Reward = -1263.0210515760305
Episode 191: Total Reward = -743.7678972624531
Episode 192: Total Reward = -1272.9668392347423
Episode 193: Total Reward = -1311.419668935089
Episode 194: Total Reward = -911.5412552815112
Episode 195: Total Reward = -1243.6449116286396
Episode 196: Total Reward = -1274.8216133580672
Episode 197: Total Reward = -603.817756020699
Episode 198: Total Reward = -1239.6262074961012
Episode 199: Total Reward = -1223.3041102561535
Episode 200: Total Reward = -1093.3343987508038
Episode 201: Total Reward = -1264.6480726972154
Episode 202: Total Reward = -1252.427508006109
Episode 203: Total Reward = -1265.6937196430936
Episode 204: Total Reward = -1263.7295474849316
Episode 205: Total Reward = -1147.5048499883833
Episode 206: Total Reward = -1238.611346936438
Episode 207: Total Reward = -1220.3636940892507
Episode 208: Total Reward = -1259.4608499080844
Episode 209: Total Reward = -1193.448897513843
Episode 210: Total Reward = -1237.0489502735613
Episode 211: Total Reward = -1252.381659829496
Episode 212: Total Reward = -1217.7147689269361
Episode 213: Total Reward = -1281.6396015240473
Episode 214: Total Reward = -1255.4090111317757
Episode 215: Total Reward = -1223.2097949830768
Episode 216: Total Reward = -1271.5331038047975
Episode 217: Total Reward = -1252.9068274437636
Episode 218: Total Reward = -1230.114919608533
Episode 219: Total Reward = -1192.0332291172049
Episode 220: Total Reward = -1188.0418653272993
Episode 221: Total Reward = -1197.3241153715026
Episode 222: Total Reward = -1151.8372039324397
Episode 223: Total Reward = -1180.2319243328855
Episode 224: Total Reward = -1056.714608272828
Episode 225: Total Reward = -1086.3678309857244
Episode 226: Total Reward = -1116.1621145527356
Episode 227: Total Reward = -885.828602749454
Episode 228: Total Reward = -5.5242607480367365
Episode 229: Total Reward = -6.3866941010648555
Episode 230: Total Reward = -1137.7544943404148
Episode 231: Total Reward = -1255.4521523696553
Episode 232: Total Reward = -1150.6307091501549
Episode 233: Total Reward = -1179.0419783734824
Episode 234: Total Reward = -1100.439169694948
Episode 235: Total Reward = -1048.2573620621185
Episode 236: Total Reward = -842.9485347300101
Episode 237: Total Reward = -107.885348951575
Episode 238: Total Reward = -1094.7194361419056
Episode 239: Total Reward = -1042.8108837285752
Episode 240: Total Reward = -475.162179032149
Episode 241: Total Reward = -807.8033892846597
Episode 242: Total Reward = -433.03742334123956
Episode 243: Total Reward = -559.9954056060908
Episode 244: Total Reward = -116.80775315298295
Episode 245: Total Reward = -1194.7577505653296
Episode 246: Total Reward = -1022.0187002087229
Episode 247: Total Reward = -1157.6295470898765
Episode 248: Total Reward = -1062.7103308175222
Episode 249: Total Reward = -1125.659420507991
Episode 250: Total Reward = -1050.7018365230354
Episode 251: Total Reward = -1099.3940008313275
Episode 252: Total Reward = -177.644716517538
Episode 253: Total Reward = -958.028761606584
Episode 254: Total Reward = -1123.2797096206864
Episode 255: Total Reward = -1117.7458313023383
Episode 256: Total Reward = -909.9826431817196
Episode 257: Total Reward = -7.323748219839838
Episode 258: Total Reward = -189.0617714407658
Episode 259: Total Reward = -992.3491763044167
Episode 260: Total Reward = -5.860015862538869
Episode 261: Total Reward = -1082.7947575608232
Episode 262: Total Reward = -1041.2818678861402
Episode 263: Total Reward = -812.7884365303474
Episode 264: Total Reward = -3.301349035969064
Episode 265: Total Reward = -930.0734113395998
Episode 266: Total Reward = -11.253565361076657
Episode 267: Total Reward = -7.715462004017546
Episode 268: Total Reward = -2.91442693828581
Episode 269: Total Reward = -11.54524142075428
Episode 270: Total Reward = -2.333873141995481
Episode 271: Total Reward = -13.215537214277063
Episode 272: Total Reward = -2.3544119918970257
Episode 273: Total Reward = -11.811423883654056
Episode 274: Total Reward = -2.482598948506616
Episode 275: Total Reward = -12.905800969571832
Episode 276: Total Reward = -411.90675685761823
Episode 277: Total Reward = -10.546252112154352
Episode 278: Total Reward = -9.298533356771337
Episode 279: Total Reward = -6.912200113023832
Episode 280: Total Reward = -10.012833840992842
Episode 281: Total Reward = -2.73996309367308
Episode 282: Total Reward = -2.9892667674753928
Episode 283: Total Reward = -4.454658903586317
Episode 284: Total Reward = -9.376902060643847
Episode 285: Total Reward = -6.621456124920705
Episode 286: Total Reward = -5.474681195662081
Episode 287: Total Reward = -9.992765430533606
Episode 288: Total Reward = -8.25344549453651
Episode 289: Total Reward = -10.981922715979497
Episode 290: Total Reward = -10.441273145262677
Episode 291: Total Reward = -8.231538561315286
Episode 292: Total Reward = -7.077236034034067
Episode 293: Total Reward = -9.719555814329945
Episode 294: Total Reward = -5.736198369491236
Episode 295: Total Reward = -7.729626460135718
Episode 296: Total Reward = -10.97043908797588
Episode 297: Total Reward = -10.265227923703675
Episode 298: Total Reward = -3.9373874195531493
Episode 299: Total Reward = -4.336271351839795
Episode 300: Total Reward = -2.4007358499233846
Episode 301: Total Reward = -6.6206118224983355
Episode 302: Total Reward = -10.199984357799257
Episode 303: Total Reward = -12.843189318582274
Episode 304: Total Reward = -6.976880628846963
Episode 305: Total Reward = -5.7923573835895015
Episode 306: Total Reward = -5.777863548301323
Episode 307: Total Reward = -5.677933453509128
Episode 308: Total Reward = -4.317669958797249
Episode 309: Total Reward = -5.213247872187106
Episode 310: Total Reward = -6.650806926188135
Episode 311: Total Reward = -4.816914871503828
Episode 312: Total Reward = -2.4945361029623028
Episode 313: Total Reward = -1.9151830151019238
Episode 314: Total Reward = -2.6592688631281725
Episode 315: Total Reward = -1.7610549970785774
Episode 316: Total Reward = -1.650253378972697
Episode 317: Total Reward = -2.614873843609165
Episode 318: Total Reward = -1.2436374424101255
Episode 319: Total Reward = -1.3765247924837745
Episode 320: Total Reward = -3.2016875174144603
Episode 321: Total Reward = -2.006357345518479
Episode 322: Total Reward = -1.2108107254434182
Episode 323: Total Reward = -483.81357390812354
Episode 324: Total Reward = -0.6214500241973023
Episode 325: Total Reward = -1.2488336552611277
Episode 326: Total Reward = -1.7505592990004373
Episode 327: Total Reward = -1.1213539557827463
Episode 328: Total Reward = -1.8634412491284906
Episode 329: Total Reward = -1.1168516396122334
Episode 330: Total Reward = -1.8549840504311628
Episode 331: Total Reward = -1.1740977131358274
Episode 332: Total Reward = -1.199245664771671
Episode 333: Total Reward = -1.7906664742983853
Episode 334: Total Reward = -200.48870527526273
Episode 335: Total Reward = -0.996910737550917
Episode 336: Total Reward = -0.8262409461131585
Episode 337: Total Reward = -1.59095247315925
Episode 338: Total Reward = -2.5766176792421835
Episode 339: Total Reward = -0.7182270260783152
Episode 340: Total Reward = -2.3781237260104042
Episode 341: Total Reward = -0.9865286094157362
Episode 342: Total Reward = -1.9760513932479833
Episode 343: Total Reward = -0.7738745153307797
Episode 344: Total Reward = -0.9647628872700627
Episode 345: Total Reward = -2.1552952032519617
Episode 346: Total Reward = -1.9405747634737718
Episode 347: Total Reward = -3.3785240808907235
Episode 348: Total Reward = -0.682238964077414
Episode 349: Total Reward = -0.9090441231941255
Episode 350: Total Reward = -2.3950424738051246
Episode 351: Total Reward = -2.1379057996507975
Episode 352: Total Reward = -3.0054393188785604
Episode 353: Total Reward = -2.1336399722450574
Episode 354: Total Reward = -2.4742324966315516
Episode 355: Total Reward = -1.7043009361079244
Episode 356: Total Reward = -3.1992677724793337
Episode 357: Total Reward = -2.0806297917958423
Episode 358: Total Reward = -3.0174622516183254
Episode 359: Total Reward = -2.5084071832571717
Episode 360: Total Reward = -2.247889975887623
Episode 361: Total Reward = -1.8356319590336068
Episode 362: Total Reward = -2.9844318097277176
Episode 363: Total Reward = -0.6402477823911467
Episode 364: Total Reward = -1.687671364569207
Episode 365: Total Reward = -2.6230482374547717
Episode 366: Total Reward = -3.064054968763616
Episode 367: Total Reward = -2.871759468072115
Episode 368: Total Reward = -2.5960758723423867
Episode 369: Total Reward = -2.184685939081618
Episode 370: Total Reward = -2.8914635828055
Episode 371: Total Reward = -2.087788259205096
Episode 372: Total Reward = -2.4124738155843013
Episode 373: Total Reward = -1.8000770364822207
Episode 374: Total Reward = -1.6046898455501808
Episode 375: Total Reward = -1.596418399280884
Episode 376: Total Reward = -2.1474668215008452
Episode 377: Total Reward = -1.4061945610859576
Episode 378: Total Reward = -1.620913153935499
Episode 379: Total Reward = -1.2780052675777183
Episode 380: Total Reward = -1.2550116095293251
Episode 381: Total Reward = -1.541756732017045
Episode 382: Total Reward = -1.4018978868955756
Episode 383: Total Reward = -1.1228855172721883
Episode 384: Total Reward = -1.1544477353148035
Episode 385: Total Reward = -1.0824866606342076
Episode 386: Total Reward = -1.3724630284185146
Episode 387: Total Reward = -1.147498301310691
Episode 388: Total Reward = -1.4944718880784826
Episode 389: Total Reward = -1.2586353343084755
Episode 390: Total Reward = -1.2330727509391057
Episode 391: Total Reward = -1.245668553558254
Episode 392: Total Reward = -1.109418278355569
Episode 393: Total Reward = -0.8993658499312571
Episode 394: Total Reward = -0.894058360465677
Episode 395: Total Reward = -0.6932533354128237
Episode 396: Total Reward = -0.9270820967935416
Episode 397: Total Reward = -0.9869617420995267
Episode 398: Total Reward = -0.8583667970972865
Episode 399: Total Reward = -0.8929217435818334
Episode 400: Total Reward = -0.9088259462273635
Episode 401: Total Reward = -0.8416341816511526
Episode 402: Total Reward = -1.0228718540199064
Episode 403: Total Reward = -0.9233348200553698
Episode 404: Total Reward = -0.8971017564555177
Episode 405: Total Reward = -1.1184787148588424
Episode 406: Total Reward = -1.049799161862254
Episode 407: Total Reward = -1.0078688271769782
Episode 408: Total Reward = -1.1249696504680624
Episode 409: Total Reward = -0.8885680857648867
Episode 410: Total Reward = -0.8424646791935761
Episode 411: Total Reward = -1.0801515892244318
Episode 412: Total Reward = -1.0806655377096832
Episode 413: Total Reward = -0.9688861878645728
Episode 414: Total Reward = -1.0699978133127444
Episode 415: Total Reward = -1.1442625275432028
Episode 416: Total Reward = -1.3399846408243525
Episode 417: Total Reward = -1.0361211328573654
Episode 418: Total Reward = -0.8406230587947688
Episode 419: Total Reward = -0.7658306271613049
Episode 420: Total Reward = -0.9389693291344948
Episode 421: Total Reward = -0.8935176744751132
Episode 422: Total Reward = -0.7755030039384978
Episode 423: Total Reward = -0.7542219893044408
Episode 424: Total Reward = -1.0511409734745452
Episode 425: Total Reward = -0.9120749586390482
Episode 426: Total Reward = -0.922906393096377
Episode 427: Total Reward = -0.9130936047531748
Episode 428: Total Reward = -0.8777452624371427
Episode 429: Total Reward = -0.7610372106578637
Episode 430: Total Reward = -0.7344555487371943
Episode 431: Total Reward = -0.6604309832927726
Episode 432: Total Reward = -0.6601577589588175
Episode 433: Total Reward = -0.5482420280372119
Episode 434: Total Reward = -0.603524689074854
Episode 435: Total Reward = -0.6366508302621697
Episode 436: Total Reward = -0.5438916752222358
Episode 437: Total Reward = -0.5959895784570476
Episode 438: Total Reward = -0.5365989138599928
Episode 439: Total Reward = -0.5530631452707822
Episode 440: Total Reward = -0.573918801085065
Episode 441: Total Reward = -0.5895897871044574
Episode 442: Total Reward = -0.637331056268493
Episode 443: Total Reward = -0.7309650718266034
Episode 444: Total Reward = -0.8116342481562547
Episode 445: Total Reward = -0.5306612858678145
Episode 446: Total Reward = -0.5068000740275812
Episode 447: Total Reward = -0.5944528116009637
Episode 448: Total Reward = -0.6444383388928338
Episode 449: Total Reward = -0.6117730135605605
Episode 450: Total Reward = -0.821585417704295
Episode 451: Total Reward = -0.7592461694506422
Episode 452: Total Reward = -0.6841995943574803
Episode 453: Total Reward = -0.5961444376754722
Episode 454: Total Reward = -0.596326498138785
Episode 455: Total Reward = -0.5847208857676013
Episode 456: Total Reward = -0.4828967530801991
Episode 457: Total Reward = -0.4528625155460801
Episode 458: Total Reward = -0.4200104633340969
Episode 459: Total Reward = -0.4040781242889392
Episode 460: Total Reward = -0.39049704653387746
Episode 461: Total Reward = -0.4170649295935738
Episode 462: Total Reward = -0.5015309378065729
Episode 463: Total Reward = -0.4522350204345811
Episode 464: Total Reward = -0.45553614264160797
Episode 465: Total Reward = -0.48409003696759834
Episode 466: Total Reward = -0.4337965974627563
Episode 467: Total Reward = -0.4524959733384589
Episode 468: Total Reward = -0.48023267490948096
Episode 469: Total Reward = -0.4358864159126224
Episode 470: Total Reward = -0.41841272865124407
Episode 471: Total Reward = -0.4395249310775967
Episode 472: Total Reward = -0.4407937800928042
Episode 473: Total Reward = -0.43217248545588666
Episode 474: Total Reward = -0.38317878031580177
Episode 475: Total Reward = -0.41448874746675807
Episode 476: Total Reward = -0.4300060300330723
Episode 477: Total Reward = -0.38860560026761604
Episode 478: Total Reward = -0.37774565333438737
Episode 479: Total Reward = -0.43152060476450144
Episode 480: Total Reward = -0.43332771711552576
Episode 481: Total Reward = -0.39858120050384693
Episode 482: Total Reward = -0.4602355518510211
Episode 483: Total Reward = -0.4003494097957503
Episode 484: Total Reward = -0.35942131685182693
Episode 485: Total Reward = -0.36953613254554457
Episode 486: Total Reward = -0.37182319238240585
Episode 487: Total Reward = -0.3803884551926091
Episode 488: Total Reward = -0.42379275802820493
Episode 489: Total Reward = -0.4310861166378367
Episode 490: Total Reward = -0.4804695573270509
Episode 491: Total Reward = -0.37506600195854756
Episode 492: Total Reward = -0.40377336737469843
Episode 493: Total Reward = -0.4421445058394008
Episode 494: Total Reward = -0.46652178715942433
Episode 495: Total Reward = -0.4630390256660744
Episode 496: Total Reward = -0.4169486472201667
Episode 497: Total Reward = -0.4916107853819174
Episode 498: Total Reward = -0.4020208131034086
Episode 499: Total Reward = -0.4482647172779828
