cuda
  6%|███▉                                                           | 31/499 [00:12<03:07,  2.50it/s]
Episode 146: Total Reward = -1072.2881561647828
Episode 147: Total Reward = -873.8859806404771
Episode 148: Total Reward = -1239.5809527026236
Episode 149: Total Reward = -1072.0823482195083
Episode 150: Total Reward = -1089.1538161558249
Episode 151: Total Reward = -1075.3125480689203
Episode 152: Total Reward = -1094.197980501804
Episode 153: Total Reward = -1162.171244074189
Episode 154: Total Reward = -1082.2972720544828
Episode 155: Total Reward = -1084.5451673471064
Episode 156: Total Reward = -1024.904874698079
Episode 157: Total Reward = -1183.3052859330166
Episode 158: Total Reward = -1168.3969869562814
Episode 159: Total Reward = -1092.4350318849731
Episode 160: Total Reward = -1048.0429150983985
Episode 161: Total Reward = -1106.5134456741548
Episode 162: Total Reward = -1115.0814573631426
Episode 163: Total Reward = -1093.863365101632
Episode 164: Total Reward = -1163.2651252649628
Episode 165: Total Reward = -1010.109352673643
Episode 166: Total Reward = -1056.5584098056122
Episode 167: Total Reward = -983.494174930383
Episode 168: Total Reward = -1108.2849808501758
Episode 169: Total Reward = -1012.3271953321349
Episode 170: Total Reward = -1130.2795126976866
Episode 171: Total Reward = -1178.0588916119848
Episode 172: Total Reward = -1111.9779769375964
Episode 173: Total Reward = -1086.392454342461
Episode 174: Total Reward = -993.6675517134847
Episode 175: Total Reward = -1142.5941880035257
Episode 176: Total Reward = -979.2099857371358
Episode 177: Total Reward = -1184.1655752881777
Episode 178: Total Reward = -1106.2555204277537
Episode 179: Total Reward = -1123.2908995598007
Episode 180: Total Reward = -1081.7856394822334
Episode 181: Total Reward = -992.8725332175754
Episode 182: Total Reward = -1120.8443227399657
Episode 183: Total Reward = -1114.3852630837728
Episode 184: Total Reward = -1026.3606989847178
Episode 185: Total Reward = -1121.9890334434383
Episode 186: Total Reward = -1113.70999179816
Episode 187: Total Reward = -998.2289556756376
Episode 188: Total Reward = -1109.5586638328095
Episode 189: Total Reward = -1129.6038734249441
Episode 190: Total Reward = -1040.794398919067
Episode 191: Total Reward = -1122.1437801670545
Episode 192: Total Reward = -1071.2845680877138
Episode 193: Total Reward = -1193.5227320055978
Episode 194: Total Reward = -1106.6788191014116
Episode 195: Total Reward = -1141.2948285316852
Episode 196: Total Reward = -1121.2798226509592
Episode 197: Total Reward = -1068.2569859445698
Episode 198: Total Reward = -1032.1263948695303
Episode 199: Total Reward = -1129.753648958531
