cuda
  3%|█▉                                                             | 31/999 [00:23<12:02,  1.34it/s]
Episode 146: Total Reward = -1541.5024592868583
Episode 147: Total Reward = -1553.8462807707936
Episode 148: Total Reward = -1522.124933582879
Episode 149: Total Reward = -1543.294404036933
Episode 150: Total Reward = -1515.2300080587047
Episode 151: Total Reward = -1514.5712900597484
Episode 152: Total Reward = -1510.6148878430176
Episode 153: Total Reward = -1499.5441738434838
Episode 154: Total Reward = -1498.5433059457143
Episode 155: Total Reward = -1499.3121987636812
Episode 156: Total Reward = -1499.3482499307938
Episode 157: Total Reward = -1498.0625601069858
Episode 158: Total Reward = -1498.8844241393401
Episode 159: Total Reward = -1499.6367096801011
Episode 160: Total Reward = -1500.695076212843
Episode 161: Total Reward = -1500.4184139727347
Episode 162: Total Reward = -1501.6197903623174
Episode 163: Total Reward = -1501.5900888481
Episode 164: Total Reward = -1502.1972988473426
Episode 165: Total Reward = -1502.2601218931861
Episode 166: Total Reward = -1504.8674262216377
Episode 167: Total Reward = -1505.7938456689265
Episode 168: Total Reward = -1505.0874497340012
Episode 169: Total Reward = -1504.6567110709316
Episode 170: Total Reward = -1504.1102048247926
Episode 171: Total Reward = -1505.2072686050603
Episode 172: Total Reward = -1506.730163446118
Episode 173: Total Reward = -1506.5759331546155
Episode 174: Total Reward = -1505.7492921209239
Episode 175: Total Reward = -1505.8509703452814
Episode 176: Total Reward = -1502.317646065238
Episode 177: Total Reward = -1502.4803560532514
Episode 178: Total Reward = -1502.2569223182306
Episode 179: Total Reward = -1501.519437176601
Episode 180: Total Reward = -1502.7915934146827
Episode 181: Total Reward = -1500.7662282035444
Episode 182: Total Reward = -1503.147986488582
Episode 183: Total Reward = -1502.7623131644716
Episode 184: Total Reward = -1500.2468770977382
Episode 185: Total Reward = -1498.9828432600382
Episode 186: Total Reward = -1498.6233809327703
Episode 187: Total Reward = -1499.8856615153934
Episode 188: Total Reward = -1499.1426140438232
Episode 189: Total Reward = -1499.4409325191007
Episode 190: Total Reward = -1500.3147990340776
Episode 191: Total Reward = -1500.0151854648777
Episode 192: Total Reward = -1499.679718884363
Episode 193: Total Reward = -1499.2347448073485
Episode 194: Total Reward = -1497.8813856806735
Episode 195: Total Reward = -1497.595009446918
Episode 196: Total Reward = -1498.5750209109976
Episode 197: Total Reward = -1498.708355365568
Episode 198: Total Reward = -1499.4186781912651
Episode 199: Total Reward = -1499.8001690188967
Episode 200: Total Reward = -1500.5325001887247
Episode 201: Total Reward = -1501.1165391107604
Episode 202: Total Reward = -1500.1763549228717
Episode 203: Total Reward = -1500.4878889849406
Episode 204: Total Reward = -1500.4774600863275
Episode 205: Total Reward = -1502.3635743457864
Episode 206: Total Reward = -1502.07640315344
Episode 207: Total Reward = -1500.7158544257202
Episode 208: Total Reward = -1502.5715073815957
Episode 209: Total Reward = -1502.0097007046234
Episode 210: Total Reward = -1501.741487325791
Episode 211: Total Reward = -1499.2804463889036
Episode 212: Total Reward = -1500.2505296656338
Episode 213: Total Reward = -1499.236992366749
Episode 214: Total Reward = -1497.897628266642
Episode 215: Total Reward = -1497.2993322697241
Episode 216: Total Reward = -1498.2131566114876
Episode 217: Total Reward = -1501.869630789794
Episode 218: Total Reward = -1509.1914862809026
Episode 219: Total Reward = -1499.1483453652781
Episode 220: Total Reward = -1506.7551625070407
Episode 221: Total Reward = -1518.5871105748354
Episode 222: Total Reward = -1501.5319632388848
Episode 223: Total Reward = -1501.9284673610016
Episode 224: Total Reward = -1500.9899472316072
Episode 225: Total Reward = -1512.6870779955013
Episode 226: Total Reward = -1523.1097691413238
Episode 227: Total Reward = -1554.2050320195683
Episode 228: Total Reward = -1549.4645608148658
Episode 229: Total Reward = -1535.009715422747
Episode 230: Total Reward = -1521.3818832896482
Episode 231: Total Reward = -1526.5094363388434
Episode 232: Total Reward = -1533.5961821265698
Episode 233: Total Reward = -1511.8524604273234
Episode 234: Total Reward = -1513.6869587800707
Episode 235: Total Reward = -1516.7742954490636
Episode 236: Total Reward = -1524.658551726365
Episode 237: Total Reward = -1505.235782446137
Episode 238: Total Reward = -1496.9954197093211
Episode 239: Total Reward = -1500.9171116037382
Episode 240: Total Reward = -1516.11840487792
Episode 241: Total Reward = -1518.9263658792909
Traceback (most recent call last):
  File "/home/raiso/lab7-policy-based-RL/a2c_pendulum.py", line 305, in <module>
    agent.train()
  File "/home/raiso/lab7-policy-based-RL/a2c_pendulum.py", line 227, in train
    self.env.render()  # Render the environment
  File "/home/raiso/lab7-policy-based-RL/.venv/lib/python3.10/site-packages/gymnasium/core.py", line 337, in render
    return self.env.render()
  File "/home/raiso/lab7-policy-based-RL/.venv/lib/python3.10/site-packages/gymnasium/wrappers/common.py", line 409, in render
    return super().render()
  File "/home/raiso/lab7-policy-based-RL/.venv/lib/python3.10/site-packages/gymnasium/core.py", line 337, in render
    return self.env.render()
  File "/home/raiso/lab7-policy-based-RL/.venv/lib/python3.10/site-packages/gymnasium/wrappers/common.py", line 303, in render
    return self.env.render()
  File "/home/raiso/lab7-policy-based-RL/.venv/lib/python3.10/site-packages/gymnasium/envs/classic_control/pendulum.py", line 240, in render
    img = pygame.image.load(fname)
KeyboardInterrupt
Exception ignored in atexit callback: <function _start_and_connect_service.<locals>.teardown_atexit at 0x7f4d8442a050>
Traceback (most recent call last):
  File "/home/raiso/lab7-policy-based-RL/.venv/lib/python3.10/site-packages/wandb/sdk/lib/service_connection.py", line 94, in teardown_atexit
    conn.teardown(hooks.exit_code)
  File "/home/raiso/lab7-policy-based-RL/.venv/lib/python3.10/site-packages/wandb/sdk/lib/service_connection.py", line 226, in teardown
    self._router.join()
  File "/home/raiso/lab7-policy-based-RL/.venv/lib/python3.10/site-packages/wandb/sdk/interface/router.py", line 75, in join
    self._thread.join()
  File "/usr/lib/python3.10/threading.py", line 1096, in join
    self._wait_for_tstate_lock()
  File "/usr/lib/python3.10/threading.py", line 1116, in _wait_for_tstate_lock
    if lock.acquire(block, timeout):
KeyboardInterrupt:
