Episode,Score,Actor_Loss,Critic_Loss
1,-765.5924333545519,-1.2980517178284936,36.434402976783424
2,-1253.603822261645,-1.3665202798321843,155.51813091027086
3,-1430.0322625365359,-0.8626624821266159,108.6119541136513
4,-1066.8481386258934,-1.5777836714684963,100.11600273486226
5,-1037.992010398903,-1.3715442592417821,44.63693070744863
6,-914.0746455591534,-0.6246648183837533,41.077805315507575
7,-905.3072873538272,0.3819100869307295,33.938943731519686
8,-911.1900820150018,-0.12067821295931935,48.59109830250498
9,-896.5102124918054,-0.17929706751776395,15.677239037540057
10,-903.2223882287615,-0.13142317653633653,21.23334666249022
11,-1231.9504999728206,-0.950448160644155,174.0930349594867
12,-777.9632468053917,0.6774617311172187,69.33043551954935
13,-1118.2537312210752,-1.0017190010426567,96.70345212139742
14,-1500.756231872474,-0.3436916057160124,171.61348722434022
15,-1455.013920406212,-0.751081771090976,133.20525636078585
16,-1453.8944087241055,1.4373918733303435,137.18022447004566
17,-1435.0885006691144,-0.708090405894909,136.24961024663529
18,-768.2471955576066,-0.3010315601527691,39.75705833188724
19,-801.0424857993945,0.20914529155939818,144.5169139911246
20,-815.8942350931173,-0.20263642799749504,32.673393105275466
21,-1553.868455942955,-1.8840194782963955,149.9895600109585
22,-1419.2013344219304,-0.20997283227741717,143.4768588663498
23,-1353.0552509993915,-0.1262887544836849,114.20111567835323
24,-1483.8477417262434,-0.3689892511133803,134.26884278731458
25,-1298.784481050538,-0.4293289300028118,123.59662246430875
26,-797.8057525613493,0.000979052180191502,58.201220175504716
27,-873.5132370961064,-0.8604722229996696,44.14198065861834
28,-848.1694561596511,0.5880643792892806,25.51819753519114
29,-765.438795486892,-0.14588591014500707,17.218254506647646
30,-1358.809814606869,-0.9358051794208586,140.08769291495554
31,-1297.8890663101463,0.03790152472676709,112.38782443536445
32,-1484.2503977188182,-0.18596913039160426,132.32259883705206
33,-1375.6116226021109,-0.31002881217747924,130.2695232518833
34,-769.3568764548429,-0.20398604352376423,52.61590375253356
35,-754.6329354677774,-0.3253988405416021,60.0806786225643
36,-904.346651899242,-0.362206120469491,26.858189254532626
37,-702.8301039673636,-0.01710419819690287,22.861535997312167
38,-1100.263817318621,-0.4348006367078051,96.961023694927
39,-1526.8647563237428,-0.9128726020385511,152.4697415931779
40,-1352.9620599860173,0.14002657223492862,135.7303416691188
41,-1383.570606326492,0.12802013317530508,117.16910974205966
42,-1428.874482618438,-0.3666591778653674,114.97683437477244
43,-1468.866355910402,-0.051650889387819914,121.47123403724167
44,-1549.3024154263394,-0.2601745707960799,142.3341322169616
45,-1304.2940872202962,-0.13133260943926872,82.41835524082417
46,-1313.1614021249493,0.8844939437456196,87.8779081978125
47,-1477.9993948215151,-0.47687631617765874,125.57060322801583
48,-1366.5508012032383,0.03922198632673826,125.07870865102653
49,-1346.7046709136005,0.7071291585866128,94.87256401889056
50,-1510.2249210543237,0.1764849970769137,130.9587618656142
51,-639.7117367261708,-0.3299201089609414,85.4050168468518
52,-1357.6777057441477,0.2438263355731033,117.67818785091862
53,-1372.5792602104743,-0.07263045604806394,112.68077577952296
54,-1335.605562094228,0.08332481577526778,95.58853557755356
55,-1418.006024294756,-0.7232463801739505,127.51644717753982
56,-795.0551686905438,-0.12567467913962901,69.64373719310854
57,-766.1771238587055,-0.35280467829608825,18.447316911524467
58,-831.3747294677114,0.22602499166852794,56.08633797463495
59,-757.9746357992486,-0.08471909593790769,28.968378364281378
60,-774.0448003813931,-0.3656821437837789,16.98212704316422
61,-1244.637087309736,-0.2566967397555709,109.51957118183789
