cuda
  6%|██████▉                                                                                                                | 29/500 [00:11<03:05,  2.54it/s]
Episode 138: Total Reward = -1621.868169465415
Episode 139: Total Reward = -1595.5181195169835
Episode 140: Total Reward = -1619.0779391577073
Episode 141: Total Reward = -1586.2168810119408
Episode 142: Total Reward = -1593.3616888415636
Episode 143: Total Reward = -1595.2040477437995
Episode 144: Total Reward = -1571.1963217167367
Episode 145: Total Reward = -1503.7360766992906
Episode 146: Total Reward = -1460.737555977813
Episode 147: Total Reward = -1305.215478441148
Episode 148: Total Reward = -1317.5605047323381
Episode 149: Total Reward = -969.3474150211562
Episode 150: Total Reward = -1174.8033152328292
Episode 151: Total Reward = -1257.0286848505768
Episode 152: Total Reward = -1600.3298204451223
Episode 153: Total Reward = -1453.088672186904
Episode 154: Total Reward = -1510.915431634568
Episode 155: Total Reward = -1498.1695077649697
Episode 156: Total Reward = -1450.7659138685156
Episode 157: Total Reward = -1490.5695316616197
Episode 158: Total Reward = -1463.8065170464617
Episode 159: Total Reward = -1476.159310998026
Episode 160: Total Reward = -1501.115565862753
Episode 161: Total Reward = -1506.1114836335278
Episode 162: Total Reward = -1451.9056461848083
Episode 163: Total Reward = -1449.076733486989
Episode 164: Total Reward = -1480.9690664906525
Episode 165: Total Reward = -1454.3073732882544
Episode 166: Total Reward = -1411.816035068914
Episode 167: Total Reward = -1386.9247705269024
Episode 168: Total Reward = -1383.6689860981596
Episode 169: Total Reward = -1384.2880023456628
Episode 170: Total Reward = -1386.6659115901043
Episode 171: Total Reward = -1384.1034628364614
Episode 172: Total Reward = -1387.572774545322
Episode 173: Total Reward = -1380.9563657357294
Episode 174: Total Reward = -1385.4991926495372
Episode 175: Total Reward = -1398.7279727150215
Episode 176: Total Reward = -1399.1992595478755
Episode 177: Total Reward = -1379.2905451380993
Episode 178: Total Reward = -1366.893693687121
Episode 179: Total Reward = -1300.2412197091903
Episode 180: Total Reward = -1332.5942732885335
Episode 181: Total Reward = -1370.807963453542
Episode 182: Total Reward = -1385.7910773591666
Episode 183: Total Reward = -1397.0187235623885
Episode 184: Total Reward = -1288.6936464515222
Episode 185: Total Reward = -1198.0207536809737
Episode 186: Total Reward = -1212.0124941947188
Episode 187: Total Reward = -1214.3805896779145
Episode 188: Total Reward = -1209.7301485721912
Episode 189: Total Reward = -1188.9846762189948
Episode 190: Total Reward = -1137.291465835943
Episode 191: Total Reward = -1210.7005821163482
Episode 192: Total Reward = -1203.9645096161412
Episode 193: Total Reward = -1203.7437447547313
Episode 194: Total Reward = -1197.389748274087
Episode 195: Total Reward = -1204.0442699898401
Episode 196: Total Reward = -1187.8810303256375
Episode 197: Total Reward = -1192.7583255857148
Episode 198: Total Reward = -1193.2688824755692
Episode 199: Total Reward = -1177.5456923185993
Episode 200: Total Reward = -1187.823071911648
Saved checkpoint at episode 200 to result-a2c_pendulum_sweep/exp_20250514-133925/checkpoint_ep200.pt
Episode 201: Total Reward = -1174.9723381916215
Episode 202: Total Reward = -1060.81665211382
Episode 203: Total Reward = -1049.8726722907734
Episode 204: Total Reward = -1045.349015847974
Episode 205: Total Reward = -1023.9316379600323
Episode 206: Total Reward = -965.1253068020703
Episode 207: Total Reward = -996.33910813813
Episode 208: Total Reward = -1453.8080977113823
Episode 209: Total Reward = -1486.2671782762209
Episode 210: Total Reward = -1515.6894468951093
Episode 211: Total Reward = -1522.8410678605626
Episode 212: Total Reward = -1374.5642327929284
Episode 213: Total Reward = -1450.853793181352
Episode 214: Total Reward = -1428.366372616257
Episode 215: Total Reward = -1430.9368448581063
Episode 216: Total Reward = -1368.3948470588978
Episode 217: Total Reward = -1429.636029244421
Episode 218: Total Reward = -1553.6586818379776
Episode 219: Total Reward = -1567.8917742469002
Episode 220: Total Reward = -1524.1400987700129
Episode 221: Total Reward = -1433.248607002215
Episode 222: Total Reward = -1374.9704513039032
Episode 223: Total Reward = -1342.0345784158258
Episode 224: Total Reward = -1334.8950452772817
Episode 225: Total Reward = -1314.3163953049989
Episode 226: Total Reward = -1317.17521303905
Episode 227: Total Reward = -1327.775662269562
Episode 228: Total Reward = -1332.5063950328554
Episode 229: Total Reward = -1350.672425398533
Episode 230: Total Reward = -1371.2647822431925
Episode 231: Total Reward = -1388.3195312452667
Episode 232: Total Reward = -1377.1694138017092
Episode 233: Total Reward = -1388.6680679489016
Episode 234: Total Reward = -1373.6438493627259
Episode 235: Total Reward = -1356.1006663038968
Episode 236: Total Reward = -1342.31507493213
Episode 237: Total Reward = -1346.4833412847734
Episode 238: Total Reward = -1355.2182480646495
Episode 239: Total Reward = -1361.3815052474338
Episode 240: Total Reward = -1342.2225408647207
Episode 241: Total Reward = -1360.393619515435
Episode 242: Total Reward = -1323.8618311818925
Episode 243: Total Reward = -1308.0104348332895
Episode 244: Total Reward = -1318.7263400964632
Episode 245: Total Reward = -1312.5254056649399
Episode 246: Total Reward = -1319.8975696415646
Episode 247: Total Reward = -1332.272160672127
Episode 248: Total Reward = -1352.1240349283987
Episode 249: Total Reward = -1369.147425703273
Episode 250: Total Reward = -1397.0755424474587
Episode 251: Total Reward = -1392.8585231656252
Episode 252: Total Reward = -1393.4324225569014
Episode 253: Total Reward = -1364.6690397874681
Episode 254: Total Reward = -1416.9513861638125
Episode 255: Total Reward = -1368.8054931252052
Episode 256: Total Reward = -1429.3042926358833
Episode 257: Total Reward = -1393.68812031583
Episode 258: Total Reward = -1359.0162350243281
Episode 259: Total Reward = -1330.1984601963284
Episode 260: Total Reward = -1378.1016096463413
Episode 261: Total Reward = -1419.4528230367214
Episode 262: Total Reward = -1434.2517217472428
Episode 263: Total Reward = -1426.8473518323349
Episode 264: Total Reward = -1378.5158452034427
Episode 265: Total Reward = -1393.0707665633252
Episode 266: Total Reward = -1340.1939633913462
Episode 267: Total Reward = -1304.7395173331283
Episode 268: Total Reward = -1210.944070121012
Episode 269: Total Reward = -1247.679677199155
Episode 270: Total Reward = -1344.7896093529246
Episode 271: Total Reward = -1405.931717372229
Episode 272: Total Reward = -1436.2549550745339
Episode 273: Total Reward = -1419.3229055887675
Episode 274: Total Reward = -1287.627961884763
Episode 275: Total Reward = -1018.8428663793381
Episode 276: Total Reward = -1356.685046791116
Episode 277: Total Reward = -1419.2466147395794
Episode 278: Total Reward = -1403.352296577046
Episode 279: Total Reward = -1397.1422332477823
Episode 280: Total Reward = -1407.6588523925752
Episode 281: Total Reward = -1369.9750730744877
Episode 282: Total Reward = -1363.728167744578
Episode 283: Total Reward = -1338.1400037040617
Episode 284: Total Reward = -1406.1703612947815
Episode 285: Total Reward = -1460.2849839374762
Episode 286: Total Reward = -1459.1301963925605
Episode 287: Total Reward = -1487.8185152745325
Episode 288: Total Reward = -1492.3284412557873
Episode 289: Total Reward = -1478.6571423798737
Episode 290: Total Reward = -1394.8683127984766
Episode 291: Total Reward = -1444.3785554663302
Episode 292: Total Reward = -1425.7617439976598
Episode 293: Total Reward = -1378.2639197839492
Episode 294: Total Reward = -1337.967316319007
Episode 295: Total Reward = -1276.5167344210365
Episode 296: Total Reward = -1320.0637863830605
Episode 297: Total Reward = -1247.9309472036657
Episode 298: Total Reward = -1304.1733734340958
Episode 299: Total Reward = -1312.0244035213586
Episode 300: Total Reward = -1395.3582447716897
Saved checkpoint at episode 300 to result-a2c_pendulum_sweep/exp_20250514-133925/checkpoint_ep300.pt
Episode 301: Total Reward = -1375.9710577921476
Episode 302: Total Reward = -1362.1641377785847
Episode 303: Total Reward = -1331.2931979673863
Episode 304: Total Reward = -1208.9301530000437
Episode 305: Total Reward = -1187.236546569148
Episode 306: Total Reward = -1207.1326713158198
Episode 307: Total Reward = -1246.3793721146344
Episode 308: Total Reward = -1355.0850862890331
Episode 309: Total Reward = -1431.7515545218523
Episode 310: Total Reward = -1469.4036345085467
Episode 311: Total Reward = -1383.1585328409828
Episode 312: Total Reward = -1285.1377822374875
Episode 313: Total Reward = -1083.5205295944793
Episode 314: Total Reward = -1287.4943814985893
Episode 315: Total Reward = -1327.9922059172993
Episode 316: Total Reward = -1415.2471265693334
Episode 317: Total Reward = -1401.3857933358559
Episode 318: Total Reward = -1375.087759740774
Episode 319: Total Reward = -1398.5019904628857
Episode 320: Total Reward = -1378.3492155408132
Episode 321: Total Reward = -1333.1529822842149
Episode 322: Total Reward = -1340.5958930955155
Episode 323: Total Reward = -1391.9819680831727
Episode 324: Total Reward = -1422.0214549293203
Episode 325: Total Reward = -1342.603820814791
Episode 326: Total Reward = -1421.463756932165
Episode 327: Total Reward = -1449.0373171622055
Episode 328: Total Reward = -1461.1904524117488
Episode 329: Total Reward = -1427.2372968000261
Episode 330: Total Reward = -1427.0954079948997
Episode 331: Total Reward = -1377.9448049124042
Episode 332: Total Reward = -1455.5309936031204
Episode 333: Total Reward = -1474.2912382697343
Episode 334: Total Reward = -1495.9685185236488
Episode 335: Total Reward = -1460.8231132420947
Episode 336: Total Reward = -1477.506547370985
Episode 337: Total Reward = -1482.8580291240958
Episode 338: Total Reward = -1458.9049711139378
Episode 339: Total Reward = -1462.095245431659
Episode 340: Total Reward = -1467.3365329921405
Episode 341: Total Reward = -1472.2354097016691
Episode 342: Total Reward = -1435.3160203105879
Episode 343: Total Reward = -1360.5716586657313
Episode 344: Total Reward = -1362.1551851980983
Episode 345: Total Reward = -1328.8541752866956
Episode 346: Total Reward = -1368.7359721882256
Episode 347: Total Reward = -1286.4795169201564
Episode 348: Total Reward = -1206.3742461082547
Episode 349: Total Reward = -1205.9380238517792
Episode 350: Total Reward = -1200.0974415248274
Episode 351: Total Reward = -1245.0541070690995
Episode 352: Total Reward = -1287.9798412140974
Episode 353: Total Reward = -1364.8810910785262
Episode 354: Total Reward = -1407.0957159084671
Episode 355: Total Reward = -1419.1174429359837
Episode 356: Total Reward = -1417.033370106239
Episode 357: Total Reward = -1461.280529921481
Episode 358: Total Reward = -1454.4042353009593
Episode 359: Total Reward = -1452.482626195749
Episode 360: Total Reward = -1459.193790047889
Episode 361: Total Reward = -1430.4711960504555
Episode 362: Total Reward = -1420.1425125959547
Episode 363: Total Reward = -1337.4592502202893
Episode 364: Total Reward = -1258.0462222353867
Episode 365: Total Reward = -1272.0166245515468
Episode 366: Total Reward = -1284.9523979818155
Episode 367: Total Reward = -1305.1559883844623
Episode 368: Total Reward = -1134.164071206391
Episode 369: Total Reward = -1123.4866592660194
Episode 370: Total Reward = -1207.9024232131467
Episode 371: Total Reward = -1094.4077572797494
Episode 372: Total Reward = -1108.801353857494
Episode 373: Total Reward = -1229.112537406619
Episode 374: Total Reward = -1129.2778850406294
Episode 375: Total Reward = -1162.906419517003
Episode 376: Total Reward = -1298.3802123810956
Episode 377: Total Reward = -1415.148290334538
Episode 378: Total Reward = -1492.5411888067147
Episode 379: Total Reward = -1486.0813954395462
Episode 380: Total Reward = -1483.9158699790485
Episode 381: Total Reward = -1460.9010070547479
Episode 382: Total Reward = -1444.6766699442155
Episode 383: Total Reward = -1411.380479556023
Episode 384: Total Reward = -1292.183478718804
Episode 385: Total Reward = -1293.9945993520428
Episode 386: Total Reward = -1323.607590611021
Episode 387: Total Reward = -1318.1702374954846
Episode 388: Total Reward = -1307.4126246560554
Episode 389: Total Reward = -1340.1232359673359
Episode 390: Total Reward = -1335.5933102571198
Episode 391: Total Reward = -1339.051475650264
Episode 392: Total Reward = -1324.973405675294
Episode 393: Total Reward = -1348.0464390462853
Episode 394: Total Reward = -1358.8296882193545
Episode 395: Total Reward = -1343.0022548280285
Episode 396: Total Reward = -1319.04748335011
Episode 397: Total Reward = -1323.1996428345465
Episode 398: Total Reward = -1339.3691125612404
Episode 399: Total Reward = -1310.3642171367712
Episode 400: Total Reward = -1313.9567081930988
Saved checkpoint at episode 400 to result-a2c_pendulum_sweep/exp_20250514-133925/checkpoint_ep400.pt
Episode 401: Total Reward = -1394.5804627014518
Episode 402: Total Reward = -1383.4414685547965
Episode 403: Total Reward = -1357.3220127043594
Episode 404: Total Reward = -1398.6774510823436
Episode 405: Total Reward = -1351.215766645701
Episode 406: Total Reward = -1399.8046951686097
Episode 407: Total Reward = -1467.911896344538
Episode 408: Total Reward = -1327.7915488161095
Episode 409: Total Reward = -1366.2697153592785
Episode 410: Total Reward = -1355.5235053291144
Episode 411: Total Reward = -1327.186030006989
Episode 412: Total Reward = -1250.2056468548299
Episode 413: Total Reward = -1142.6812018160288
Episode 414: Total Reward = -1067.1291446241244
Episode 415: Total Reward = -1056.8347200707888
Episode 416: Total Reward = -945.0995767344599
Episode 417: Total Reward = -963.8585447336866
Episode 418: Total Reward = -1383.8049032963809
Episode 419: Total Reward = -1394.8565155871022
Episode 420: Total Reward = -1373.8294164403496
Episode 421: Total Reward = -1353.3213939587577
Episode 422: Total Reward = -1371.5480372100953
Episode 423: Total Reward = -1252.1438422849822
Episode 424: Total Reward = -1269.056802310518
Episode 425: Total Reward = -1062.817778310395
Episode 426: Total Reward = -1191.5052519223511
Episode 427: Total Reward = -951.5450656719842
Episode 428: Total Reward = -1381.852329070032
Episode 429: Total Reward = -1379.3902337209995
Episode 430: Total Reward = -1072.9347316924193
Episode 431: Total Reward = -1088.2043519173644
Episode 432: Total Reward = -1096.0943446752465
Episode 433: Total Reward = -1380.3526512783376
Episode 434: Total Reward = -1227.7856061970517
Episode 435: Total Reward = -1146.2857395947804
Episode 436: Total Reward = -1078.9214707295903
Episode 437: Total Reward = -929.0743300600352
Episode 438: Total Reward = -757.0102130860304
Episode 439: Total Reward = -806.2413251345098
Episode 440: Total Reward = -889.108161766915
Episode 441: Total Reward = -891.7655349679
Episode 442: Total Reward = -681.607448743815
Episode 443: Total Reward = -1194.1816292699768
Episode 444: Total Reward = -1269.2302598629517
Episode 445: Total Reward = -1181.7969373621481
Episode 446: Total Reward = -1250.200138171231
Episode 447: Total Reward = -1311.3005867789427
Episode 448: Total Reward = -1318.9249139720187
Episode 449: Total Reward = -1254.9571856001828
Episode 450: Total Reward = -1341.1844972305094
Episode 451: Total Reward = -1347.2529954839115
Episode 452: Total Reward = -1333.719607086161
Episode 453: Total Reward = -1328.6960957524211
Episode 454: Total Reward = -1343.2055283332613
Episode 455: Total Reward = -1322.0337101006075
Episode 456: Total Reward = -1331.222579075874
Episode 457: Total Reward = -1352.2667078422496
Episode 458: Total Reward = -1048.286425457494
Episode 459: Total Reward = -1337.208335649826
Episode 460: Total Reward = -1345.6788975925185
Episode 461: Total Reward = -1350.981451900667
Episode 462: Total Reward = -1359.3282361924666
Episode 463: Total Reward = -1325.7165570778348
Episode 464: Total Reward = -1362.8329654243018
Episode 465: Total Reward = -1295.771174132707
Episode 466: Total Reward = -1340.4183529147215
Episode 467: Total Reward = -1332.9151493282607
Episode 468: Total Reward = -1351.6962979307525
Episode 469: Total Reward = -1369.095730575542
Episode 470: Total Reward = -1365.5150613933035
Episode 471: Total Reward = -1398.551078707644
Episode 472: Total Reward = -1387.2802676966573
Episode 473: Total Reward = -1383.777482062731
Episode 474: Total Reward = -1403.0156196155672
Episode 475: Total Reward = -1400.8547848985054
Episode 476: Total Reward = -1429.132129074398
Episode 477: Total Reward = -1437.4589129215863
Episode 478: Total Reward = -1417.7008912730166
